Distance (mm),Angle (degrees)
34.041446567401245,359.5740627546266
33.61804577139067,358.8368098494453
33.62950262126764,358.1053775152706
33.200352618827885,358.08087839280466
32.788585239116564,357.3058228086695
32.35967838042561,357.27008634247557
31.954388368650548,356.4643508738632
31.525829003492206,356.4162252131853
31.097292493412755,356.36677312463996
30.668779796477963,356.31593908074706
30.271305619969393,355.4526443887176
29.88088568150942,354.5665846974722
29.924597119773143,353.74811417195195
30.400567345783067,353.03177226730145
30.826827495558934,353.1285938646568
31.306748773505173,352.44240066865876
31.732456770693513,352.54437009191713
32.15826261415644,352.6436394792833
32.64120203928906,351.9926216695434
33.128232404090525,351.3606659575003
33.55281012133284,351.47080831526955
33.61917591658498,350.74709440097365
33.69088391988126,350.0263466068735
33.767900097816174,349.3087733733003
33.85018821882425,348.5945773273248
33.937709934586294,347.8839549976911
33.61188081110871,347.0146493287082
33.193613761715525,346.848106795081
32.87723549478688,345.94913177047766
32.46086215926119,345.76512588389784
32.04483231639682,345.57634020535045
31.62915952044853,345.38259030580514
31.21385803572707,345.18368238248615
30.7989428828267,344.97941267261496
30.384429888435847,344.76956682407246
30.087541950572028,343.76574368968215
29.8000717625092,342.74223422656564
30.338832153215748,342.20839639867285
30.747964026172383,342.45287888438685
31.28808070634492,341.94021471423946
31.830617214559695,341.44498820671066
32.37545189914734,340.9663949119639
32.92247066259291,340.5036742198605
33.47156642324478,340.0561068479225
33.62045354997569,339.36821598130456
33.77414370057386,338.6864881136538
33.93257161236836,338.0110311967341
33.69982942885603,337.0607107020175
33.86949412814714,336.3917592618867
33.65275565185918,335.429067404706
33.262729359874896,335.1215134444143
32.873684212351094,334.80667070903985
32.4856554595876,334.48429669192
32.09867996203645,334.1541390535896
31.71279627677132,333.8159351903639
31.328044749063352,333.4694117863579
30.752677915004867,333.8278300131302
30.36790467734729,333.4705013997744
30.181015464105684,332.37702061741635
30.00525370394041,331.2703221198125
30.588652977412444,330.95164559774037
31.17296308579608,330.64490650965354
31.758133754447154,330.34946306979543
31.972733302789177,329.68073181416963
32.56051827029013,329.40992463832254
33.14900482140632,329.1487269520211
33.371235804165394,328.51580548779066
33.59748480564216,327.89133298711147
33.827671205006936,327.27528679558833
34.061715176475026,326.66763707345325
33.944119228526645,325.66376764052995
34.18815331735241,325.0695456725898
33.83701397994013,324.6532311305986
33.487698497016595,324.22820847085205
