X (mm),Y (rad)
125.61796567877943,4.597889161420893
125.21143504551476,4.584407333118001
125.21143504551476,4.5812237499109365
124.80490441225011,4.567077159381634
124.80490441225011,4.557343844075159
123.9918431457208,4.5259334595361285
123.17878187919148,4.499063499231745
122.77225124592682,4.488764993444921
122.77225124592682,4.491709312432104
122.36572061266216,4.481817942907757
122.36572061266216,4.484767073425614
121.95918997939751,4.4752550045006565
121.95918997939751,4.478203728494998
121.14612871286819,4.460157973541111
119.52000617980956,4.4135737482619835
119.11347554654489,4.398425761068495
119.11347554654489,4.394639984416967
118.70694491328024,4.379044728572497
118.70694491328024,4.3575847210115635
119.11347554654489,4.365459871141429
119.11347554654489,4.36086631016877
117.89388364675092,4.307625515708474
116.26776111369229,4.280546586246575
116.26776111369229,4.2858764839427295
115.86123048042762,4.279656125445204
115.45469984716297,4.268347427132252
115.0481692138983,4.262546423105647
113.82857731410434,4.229976491951918
113.42204668083967,4.213624465757255
113.01551604757502,4.203048031332221
113.01551604757502,4.165458758847155
113.42204668083967,4.169826911458422
113.42204668083967,4.156015316159113
113.82857731410434,4.160389897090363
113.01551604757502,4.122577904000174
112.2024547810457,4.1000918010566565
110.98286288125172,4.090735789840207
110.57633224798707,4.080405225531111
110.16980161472242,4.077706865971387
109.3567403481931,4.057893910133307
108.95020971492843,4.055661618437736
108.54367908166378,4.038665534531853
108.13714844839912,4.029266884416205
107.73061781513447,4.012320359603573
107.73061781513447,3.9801019823444292
108.13714844839912,3.981057264804913
108.13714844839912,3.972478131841125
108.54367908166378,3.9733194512412147
108.54367908166378,3.9644209650691336
108.95020971492843,3.9651333709448897
108.95020971492843,3.946469308495953
108.13714844839912,3.9076317073366447
107.73061781513447,3.908000432914738
107.3240871818698,3.898749130192761
106.91755654860515,3.8992719507101197
106.51102591534048,3.8903596625067536
106.10449528207583,3.8910192275661433
105.29143401554651,3.8739882017510507
104.88490338228185,3.8749084654632306
104.07184211575253,3.858761711904067
103.25878084922321,3.824818788804951
103.25878084922321,3.7863617373787135
104.07184211575253,3.7812715902138403
104.07184211575253,3.7708916101104846
103.66531148248788,3.7528705536298466
103.66531148248788,3.742229021294501
103.66531148248788,3.7528705536298466
104.07184211575253,3.7708916101104846
105.29143401554651,3.761869047978505
105.29143401554651,3.7506495168511806
104.4783727490172,3.7125361226833737
103.66531148248788,3.698079592248397
103.25878084922321,3.7022939867959255
102.4457195826939,3.68863142496458
102.03918894942925,3.6928462660127632
100.41306641637061,3.667497352542149
100.00653578310595,3.651034374714493
100.00653578310595,3.6404582206515403
99.6000051498413,3.6241051960112554
99.6000051498413,3.602510824641489
100.00653578310595,3.5969244561619633
100.00653578310595,3.5857362885247137
101.22612768289993,3.5671237020836024
101.63265831616458,3.572599980103019
102.4457195826939,3.559105095840302
102.4457195826939,3.546467737654826
101.63265831616458,3.5106979056470133
100.81959704963526,3.5011154307959074
100.41306641637061,3.508743473261067
99.6000051498413,3.4995934363265344
99.19347451657663,3.4833135348266397
97.567351983518,3.467131355711437
97.567351983518,3.45564975893176
97.16082135025334,3.4405003061310295
97.16082135025334,3.405675156966143
97.567351983518,3.3969925511714005
97.97388261678266,3.4001445091829092
98.78694388331198,3.3818447777533427
99.19347451657663,3.384945145625647
99.6000051498413,3.3752868679555923
100.00653578310595,3.378392405555625
100.81959704963526,3.3579529779616597
99.6000051498413,3.309986887240789
97.97388261678266,3.3014453312626917
97.567351983518,3.286992403976077
96.34776008372403,3.2817105020487705
96.34776008372403,3.269658087007772
95.94122945045937,3.256174508770701
95.94122945045937,3.220147228361881
96.34776008372403,3.2089014754412784
96.75429071698869,3.209735174998914
97.16082135025334,3.198058678921192
97.567351983518,3.1987765535405357
98.38041325004731,3.2262810642792936
98.78694388331198,3.2142333348017127
98.78694388331198,3.1878337358227755
100.00653578310595,3.1483949847898147
98.78694388331198,3.1083949736984198
97.97388261678266,3.1092512271522086
97.567351983518,3.096940876902188
96.75429071698869,3.0980489980518744
96.34776008372403,3.0863405462577895
96.34776008372403,3.074114948608663
95.94122945045937,3.06287151729997
96.34776008372403,3.049727832390719
96.34776008372403,3.0375734250007804
96.75429071698869,3.024019961246974
96.75429071698869,3.011784861346047
97.567351983518,3.0085155458513126
97.97388261678266,2.994168734195834
99.6000051498413,2.986269443865176
100.41306641637061,2.9548516757844365
100.41306641637061,2.941380469040574
99.19347451657663,2.9107491199569133
98.78694388331198,2.9137017301796133
98.38041325004731,2.9041936085463442
97.97388261678266,2.9071456163175613
97.16082135025334,2.8891073345343226
97.16082135025334,2.8425261694524084
97.567351983518,2.827376228401907
98.78694388331198,2.815739222898172
99.19347451657663,2.799707028249501
100.00653578310595,2.7910192283042234
100.41306641637061,2.798868195265431
101.63265831616458,2.7850729100315283
102.03918894942925,2.7673336662232573
102.03918894942925,2.754561477031367
102.4457195826939,2.7365419173473673
101.63265831616458,2.722536190161212
101.22612768289993,2.727897993451919
99.6000051498413,2.7025879201930247
99.6000051498413,2.6589325041031175
100.00653578310595,2.642580035773518
100.00653578310595,2.632005587980634
101.22612768289993,2.6138096182504666
101.63265831616458,2.618366731496899
103.25878084922321,2.591934963769557
103.66531148248788,2.5963834458109893
104.07184211575253,2.5893179280276177
104.88490338228185,2.5515065765677836
104.88490338228185,2.5401798904643815
104.4783727490172,2.5367185985398555
104.4783727490172,2.5257977061859376
103.25878084922321,2.5167906374513604
103.25878084922321,2.5066642102677203
102.85225021595856,2.504062896300066
102.85225021595856,2.48462861524281
103.25878084922321,2.4676335885834533
103.25878084922321,2.4582375926898634
