X (mm),Y (mm)
126.02449631204408,60.573064356434095
125.61796567877943,60.979594989698754
125.61796567877943,62.60571752275738
125.21143504551476,63.01224815602204
125.21143504551476,64.23184005581602
124.39837377898546,65.04490132234534
123.9918431457208,65.04490132234534
123.17878187919148,64.23184005581602
123.17878187919148,63.825309422551356
122.77225124592682,63.4187787892867
122.77225124592682,63.01224815602204
121.55265934613284,61.79265625622807
119.92653681307421,61.79265625622807
119.52000617980956,62.19918688949273
119.52000617980956,63.01224815602204
119.11347554654489,63.4187787892867
119.52000617980956,63.825309422551356
119.52000617980956,65.85796258887466
118.70694491328024,66.67102385540397
118.30041428001557,66.67102385540397
115.45469984716297,63.825309422551356
115.0481692138983,63.825309422551356
114.64163858063365,64.23184005581602
113.82857731410434,64.23184005581602
113.82857731410434,64.63837068908067
113.42204668083967,65.04490132234534
113.42204668083967,66.26449322213931
113.82857731410434,66.67102385540397
113.82857731410434,67.89061575519794
114.23510794736899,68.29714638846261
114.23510794736899,68.70367702172726
113.42204668083967,69.51673828825658
113.01551604757502,69.51673828825658
111.79592414778104,68.29714638846261
111.38939351451639,68.29714638846261
110.57633224798707,67.48408512193329
108.95020971492843,67.48408512193329
108.13714844839912,68.29714638846261
108.13714844839912,69.51673828825658
108.54367908166378,69.92326892152123
108.54367908166378,70.73633018805054
109.3567403481931,71.54939145457986
109.3567403481931,72.76898335437384
108.95020971492843,73.1755139876385
108.13714844839912,73.1755139876385
107.73061781513447,72.76898335437384
107.3240871818698,72.76898335437384
106.91755654860515,72.36245272110918
106.10449528207583,72.36245272110918
105.69796464881117,71.95592208784453
104.4783727490172,71.95592208784453
103.66531148248788,72.76898335437384
103.66531148248788,73.98857525416781
104.07184211575253,74.39510588743248
104.07184211575253,74.80163652069713
104.88490338228185,75.61469778722645
104.88490338228185,76.02122842049111
105.69796464881117,76.83428968702043
105.69796464881117,77.24082032028508
105.29143401554651,77.64735095354975
103.25878084922321,77.64735095354975
102.85225021595856,77.24082032028508
100.81959704963526,77.24082032028508
100.41306641637061,77.64735095354975
100.41306641637061,79.68000411987303
102.03918894942925,81.30612665293167
102.4457195826939,81.30612665293167
102.85225021595856,81.71265728619633
102.85225021595856,82.52571855272565
102.4457195826939,82.9322491859903
98.38041325004731,82.9322491859903
97.97388261678266,83.33877981925495
97.97388261678266,84.15184108578427
97.567351983518,84.55837171904894
97.97388261678266,84.96490235231359
97.97388261678266,85.37143298557825
98.38041325004731,85.7779636188429
98.78694388331198,85.7779636188429
99.6000051498413,86.59102488537222
100.00653578310595,86.59102488537222
101.22612768289993,87.8106167851662
100.41306641637061,88.62367805169552
99.6000051498413,88.62367805169552
99.19347451657663,89.03020868496017
97.567351983518,89.03020868496017
97.16082135025334,89.43673931822484
96.75429071698869,89.43673931822484
96.75429071698869,90.24980058475415
96.34776008372403,90.6563312180188
96.34776008372403,91.06286185128347
97.16082135025334,91.87592311781279
98.38041325004731,91.87592311781279
98.38041325004731,91.46939248454812
98.78694388331198,91.06286185128347
99.19347451657663,91.46939248454812
99.19347451657663,92.6889843843421
98.78694388331198,93.09551501760676
98.38041325004731,93.09551501760676
97.97388261678266,92.6889843843421
97.97388261678266,93.09551501760676
98.78694388331198,93.09551501760676
99.19347451657663,92.6889843843421
99.6000051498413,92.6889843843421
100.41306641637061,93.50204565087142
100.41306641637061,93.90857628413607
99.6000051498413,94.72163755066539
99.19347451657663,94.72163755066539
98.78694388331198,95.12816818393006
97.97388261678266,95.12816818393006
97.567351983518,95.53469881719471
97.16082135025334,95.53469881719471
96.75429071698869,95.94122945045937
96.75429071698869,97.567351983518
97.567351983518,98.38041325004731
99.19347451657663,98.38041325004731
99.6000051498413,98.78694388331198
100.41306641637061,98.78694388331198
101.22612768289993,99.6000051498413
100.00653578310595,100.81959704963526
99.6000051498413,100.81959704963526
99.19347451657663,101.22612768289993
98.78694388331198,101.22612768289993
97.567351983518,102.4457195826939
97.567351983518,103.66531148248788
97.97388261678266,104.07184211575253
97.97388261678266,104.4783727490172
102.03918894942925,104.4783727490172
102.4457195826939,104.88490338228185
102.4457195826939,105.29143401554651
102.85225021595856,105.69796464881117
102.03918894942925,106.51102591534048
101.63265831616458,106.51102591534048
100.00653578310595,108.13714844839912
100.00653578310595,109.76327098145775
100.41306641637061,110.16980161472242
103.25878084922321,110.16980161472242
103.66531148248788,109.76327098145775
104.88490338228185,109.76327098145775
105.29143401554651,110.16980161472242
105.29143401554651,110.98286288125172
104.4783727490172,111.79592414778104
104.4783727490172,112.2024547810457
103.66531148248788,113.01551604757502
103.66531148248788,113.42204668083967
103.25878084922321,113.82857731410434
103.25878084922321,114.64163858063365
104.07184211575253,115.45469984716297
105.69796464881117,115.45469984716297
106.10449528207583,115.0481692138983
106.91755654860515,115.0481692138983
107.3240871818698,114.64163858063365
107.73061781513447,114.64163858063365
108.13714844839912,114.23510794736899
108.54367908166378,114.23510794736899
109.3567403481931,115.0481692138983
109.3567403481931,115.45469984716297
108.54367908166378,116.26776111369229
108.54367908166378,117.0808223802216
108.13714844839912,117.48735301348626
108.13714844839912,118.30041428001557
107.73061781513447,118.70694491328024
108.13714844839912,119.11347554654489
108.13714844839912,119.52000617980956
108.54367908166378,119.92653681307421
108.95020971492843,119.92653681307421
109.3567403481931,120.33306744633887
109.76327098145775,119.92653681307421
110.16980161472242,119.92653681307421
110.57633224798707,119.52000617980956
110.98286288125172,119.52000617980956
111.79592414778104,118.70694491328024
112.2024547810457,118.70694491328024
112.60898541431035,118.30041428001557
113.01551604757502,118.30041428001557
113.82857731410434,119.11347554654489
113.82857731410434,120.33306744633887
114.23510794736899,120.33306744633887
114.64163858063365,120.73959807960352
114.23510794736899,121.14612871286819
113.42204668083967,121.14612871286819
113.42204668083967,121.95918997939751
113.01551604757502,122.36572061266216
113.42204668083967,122.77225124592682
113.42204668083967,123.58531251245614
115.45469984716297,123.58531251245614
117.0808223802216,121.95918997939751
117.0808223802216,121.55265934613284
117.48735301348626,121.14612871286819
118.30041428001557,121.14612871286819
119.11347554654489,121.95918997939751
119.11347554654489,123.58531251245614
118.70694491328024,123.9918431457208
118.70694491328024,124.39837377898546
119.11347554654489,124.80490441225011
119.11347554654489,125.61796567877943
