X (mm),Y (mm)
6.048,10.724
6.0200000000000005,10.752
6.0200000000000005,10.78
6.104,10.864
6.216,10.864
6.244,10.836
6.272,10.836
6.3,10.864
6.3,10.92
6.272,10.948
6.272,11.032
6.356,11.116
6.384,11.116
6.412,11.088000000000001
6.468,11.088000000000001
6.496,11.06
6.524,11.06
6.5520000000000005,11.088000000000001
6.5520000000000005,11.144
6.524,11.172
6.524,11.228
6.6080000000000005,11.312
6.72,11.312
6.748,11.284
6.776,11.284
6.804,11.312
6.804,11.452
6.86,11.508000000000001
6.972,11.508000000000001
7.0,11.48
7.056,11.48
7.0840000000000005,11.508000000000001
7.0840000000000005,11.536
7.056,11.564
7.056,11.592
7.0840000000000005,11.620000000000001
7.0840000000000005,11.648
7.140000000000001,11.704
7.252,11.704
7.308,11.648
7.336,11.648
7.364,11.676
7.364,11.816
7.392,11.844
7.42,11.844
7.448,11.872
7.532,11.872
7.6160000000000005,11.788
7.644,11.816
7.644,11.928
7.672000000000001,11.956
7.672000000000001,11.984
7.7,11.984
7.728,12.012
7.84,12.012
7.924,11.928
7.952,11.956
7.952,12.068
7.98,12.096
7.98,12.124
8.036,12.124
8.064,12.152000000000001
8.148,12.152000000000001
8.232,12.068
8.288,12.124
8.288,12.236
8.344,12.236
8.372,12.264000000000001
8.456,12.264000000000001
8.540000000000001,12.18
8.568,12.18
8.596,12.208
8.596,12.292
8.624,12.32
8.652000000000001,12.32
8.68,12.348
8.792,12.348
8.82,12.32
8.82,12.292
8.876,12.236
8.904,12.264000000000001
8.904,12.292
8.932,12.32
8.932,12.376
8.96,12.404
9.044,12.404
9.072000000000001,12.432
9.1,12.404
9.128,12.404
9.156,12.376
9.156,12.348
9.212,12.292
9.24,12.32
9.24,12.348
9.268,12.376
9.268,12.432
9.296,12.432
9.324,12.46
9.464,12.46
9.492,12.432
9.492,12.376
9.52,12.348
9.548,12.348
9.576,12.376
9.576,12.404
9.604000000000001,12.432
9.604000000000001,12.46
9.632,12.488
9.8,12.488
9.8,12.46
9.828,12.432
9.828,12.404
9.856,12.376
9.884,12.376
9.94,12.432
9.94,12.488
10.136000000000001,12.488
10.164,12.46
10.164,12.404
10.192,12.376
10.22,12.376
10.276,12.432
10.276,12.46
10.304,12.46
10.332,12.488
10.36,12.488
10.388,12.46
10.472,12.46
10.5,12.432
10.5,12.376
10.528,12.348
10.556000000000001,12.348
10.584,12.376
10.584,12.404
10.64,12.46
10.752,12.46
10.78,12.432
10.808,12.432
10.836,12.404
10.836,12.32
10.864,12.292
10.976,12.404
11.088000000000001,12.404
11.116,12.376
11.144,12.376
11.144,12.348
11.172,12.32
11.172,12.264000000000001
11.200000000000001,12.236
11.228,12.236
11.256,12.264000000000001
11.256,12.292
11.284,12.32
11.452,12.32
11.48,12.292
11.48,12.208
11.536,12.152000000000001
11.620000000000001,12.236
11.732000000000001,12.236
11.76,12.208
11.788,12.208
11.788,12.18
11.816,12.152000000000001
11.816,12.068
11.844,12.040000000000001
11.928,12.124
12.040000000000001,12.124
12.068,12.096
12.096,12.096
12.124,12.068
12.124,11.956
12.152000000000001,11.928
12.18,11.928
12.236,11.984
12.32,11.984
12.348,11.956
12.404,11.956
12.432,11.928
12.432,11.788
12.46,11.76
12.516,11.816
12.544,11.816
12.572000000000001,11.844
12.6,11.844
12.628,11.816
12.684000000000001,11.816
12.712,11.788
12.74,11.788
12.74,11.648
12.768,11.620000000000001
12.796000000000001,11.620000000000001
12.852,11.676
12.936,11.676
13.02,11.592
13.02,11.452
13.048,11.424
13.076,11.452
13.104000000000001,11.452
13.132,11.48
13.216000000000001,11.48
13.272,11.424
13.3,11.424
13.3,11.312
13.272,11.284
13.272,11.256
13.3,11.228
13.328,11.228
13.356,11.256
13.412,11.256
13.44,11.284
13.468,11.284
13.552,11.200000000000001
13.552,11.172
13.58,11.144
13.552,11.116
13.552,11.032
13.58,11.004
13.608,11.004
13.636000000000001,11.032
13.664,11.032
13.692,11.06
13.72,11.032
13.776,11.032
13.832,10.976
13.832,10.92
13.804,10.892
13.804,10.836
13.776,10.808
13.804,10.78
13.86,10.78
13.888,10.808
13.972,10.808
14.056000000000001,10.724
14.056000000000001,10.64
14.028,10.612
14.028,10.584
14.0,10.556000000000001
14.028,10.528
14.084,10.528
14.112,10.556000000000001
14.196,10.556000000000001
14.280000000000001,10.472
14.280000000000001,10.388
14.224,10.332
14.224,10.304
14.252,10.276
14.42,10.276
14.504,10.192
14.504,10.164
14.476,10.136000000000001
14.476,10.108
14.42,10.052
14.42,10.024000000000001
14.448,9.996
14.616,9.996
14.672,9.94
14.672,9.828
14.588000000000001,9.744
14.616,9.716000000000001
14.784,9.716000000000001
14.812000000000001,9.688
14.812000000000001,9.66
14.84,9.632
14.84,9.52
14.812000000000001,9.492
14.784,9.492
14.756,9.464
14.756,9.436
14.784,9.408
14.924,9.408
14.98,9.352
14.98,9.324
15.008000000000001,9.296
15.008000000000001,9.24
14.952,9.184000000000001
14.924,9.184000000000001
14.896,9.156
14.896,9.128
14.924,9.1
15.064,9.1
15.092,9.072000000000001
15.092,9.044
15.120000000000001,9.016
15.120000000000001,8.904
15.092,8.876
15.064,8.876
15.008000000000001,8.82
15.064,8.764
15.204,8.764
15.204,8.736
15.232000000000001,8.708
15.232000000000001,8.596
15.176,8.540000000000001
15.148,8.540000000000001
15.120000000000001,8.512
15.120000000000001,8.484
15.148,8.456
15.26,8.456
15.316,8.4
15.316,8.344
15.344000000000001,8.316
15.344000000000001,8.26
15.316,8.232
15.26,8.232
15.204,8.176
15.26,8.120000000000001
15.344000000000001,8.120000000000001
15.372,8.092
15.372,8.064
15.4,8.036
15.4,7.924
15.372,7.896
15.344000000000001,7.896
15.316,7.868
15.288,7.868
15.26,7.84
15.316,7.784
15.4,7.784
15.428,7.756
15.428,7.728
15.456,7.7
15.456,7.588
15.428,7.5600000000000005
15.372,7.5600000000000005
15.316,7.5040000000000004
15.372,7.448
15.428,7.448
15.484,7.392
15.484,7.252
15.456,7.224
15.4,7.224
15.372,7.196
15.344000000000001,7.196
15.316,7.168
15.372,7.112
15.428,7.112
15.484,7.056
15.484,6.916
15.456,6.888
15.4,6.888
15.372,6.86
15.344000000000001,6.86
15.316,6.832
15.4,6.748
15.456,6.748
15.456,6.5520000000000005
15.428,6.5520000000000005
15.4,6.524
15.316,6.524
15.288,6.496
15.372,6.412
15.428,6.412
15.428,6.216
15.4,6.188
15.316,6.188
15.26,6.132000000000001
15.288,6.104
15.316,6.104
15.372,6.048
15.372,5.908
15.344000000000001,5.88
15.316,5.88
15.288,5.852
15.204,5.852
15.176,5.824
15.232000000000001,5.768
15.26,5.768
15.316,5.712
15.316,5.628
15.288,5.6000000000000005
15.288,5.5440000000000005
15.232000000000001,5.5440000000000005
15.204,5.516
15.120000000000001,5.516
15.092,5.488
15.176,5.404
15.204,5.404
15.204,5.264
15.176,5.236
15.176,5.208
15.036,5.208
14.98,5.152
15.008000000000001,5.124
15.036,5.124
15.092,5.0680000000000005
15.092,4.956
15.064,4.928
15.036,4.928
15.008000000000001,4.9
14.924,4.9
14.868,4.844
14.952,4.76
14.952,4.648
14.924,4.62
14.924,4.5920000000000005
14.896,4.564
14.812000000000001,4.564
14.784,4.5920000000000005
14.728,4.5360000000000005
14.784,4.48
14.784,4.452
14.812000000000001,4.424
14.812000000000001,4.368
14.784,4.34
14.784,4.312
14.728,4.256
14.672,4.256
14.644,4.284
14.588000000000001,4.284
14.56,4.256
14.56,4.228
14.616,4.172
14.616,4.032
14.56,3.976
14.448,3.976
14.42,4.0040000000000004
14.364,3.948
14.42,3.892
14.42,3.7800000000000002
14.392,3.7520000000000002
14.392,3.724
14.364,3.696
14.252,3.696
14.224,3.724
14.196,3.724
14.168000000000001,3.696
14.168000000000001,3.668
14.196,3.64
14.196,3.584
14.224,3.556
14.196,3.528
14.196,3.5
14.168000000000001,3.472
14.168000000000001,3.444
14.028,3.444
14.0,3.472
13.972,3.472
13.944,3.444
13.944,3.416
13.972,3.388
13.972,3.3040000000000003
14.0,3.2760000000000002
13.916,3.192
13.776,3.192
13.748000000000001,3.22
13.72,3.22
13.692,3.192
13.692,3.164
13.72,3.136
13.72,3.108
13.748000000000001,3.08
13.748000000000001,3.024
13.664,2.94
13.552,2.94
13.496,2.996
13.44,2.94
13.468,2.912
13.468,2.884
13.496,2.856
13.468,2.828
13.496,2.8000000000000003
13.44,2.744
13.412,2.744
13.384,2.716
13.3,2.716
13.244,2.7720000000000002
13.216000000000001,2.7720000000000002
13.188,2.744
13.188,2.688
13.216000000000001,2.66
13.216000000000001,2.632
13.188,2.604
13.188,2.576
13.132,2.52
13.02,2.52
12.964,2.576
12.936,2.576
12.908,2.548
12.908,2.492
12.936,2.464
12.936,2.408
12.88,2.352
12.824,2.352
12.796000000000001,2.324
12.768,2.352
12.712,2.352
12.656,2.408
12.628,2.38
12.628,2.24
12.572000000000001,2.184
12.516,2.184
12.488,2.156
12.46,2.184
12.432,2.184
12.376,2.24
12.348,2.24
12.32,2.212
12.32,2.072
12.292,2.072
12.264000000000001,2.044
12.236,2.044
12.208,2.016
12.152000000000001,2.016
12.124,2.044
12.096,2.044
12.040000000000001,2.1
12.012,2.072
12.012,1.988
11.984,1.96
11.984,1.932
11.956,1.932
11.928,1.9040000000000001
11.816,1.9040000000000001
11.732000000000001,1.988
11.704,1.988
11.676,1.96
11.676,1.848
11.648,1.82
11.620000000000001,1.82
11.592,1.792
11.48,1.792
11.452,1.82
11.452,1.848
11.396,1.9040000000000001
11.34,1.848
11.34,1.736
11.312,1.736
11.284,1.708
11.144,1.708
11.116,1.736
11.116,1.764
11.06,1.82
11.032,1.792
11.032,1.764
11.004,1.736
11.004,1.68
10.976,1.6520000000000001
10.808,1.6520000000000001
10.78,1.68
10.78,1.708
10.724,1.764
10.668000000000001,1.708
10.668000000000001,1.6520000000000001
10.64,1.624
10.612,1.624
10.584,1.596
10.472,1.596
10.444,1.624
10.444,1.6520000000000001
10.416,1.68
10.416,1.708
10.388,1.736
10.332,1.68
10.332,1.596
10.276,1.596
10.248,1.568
10.164,1.568
10.108,1.624
10.108,1.6520000000000001
10.052,1.708
9.996,1.6520000000000001
9.996,1.624
9.968,1.596
9.94,1.596
9.912,1.568
